name,type,start_time,duration,"mosi","miso"
"SPI","result",0.9084089,0.00301676,0x6F,0x00
"SPI","result",0.91147771,0.00301676,0x1E,0x00
"SPI","result",0.91454652,0.00301714,0xAF,0x00
"SPI","result",0.91761571,0.00301638,0x82,0x00
"SPI","result",0.92068415,0.00301707,0x02,0x00
"SPI","result",0.92375327,0.00301676,0x03,0x00
"SPI","result",0.92682208,0.01220503,0x2E,0x00
"SPI","result",0.93907916,0.00303568,0x01,0x00
"SPI","result",0.94216689,0.00301694,0x6D,0x00
"SPI","result",0.94523589,0.00301663,0x1E,0x00
"SPI","result",0.94830458,0.00301688,0x6F,0x00
"SPI","result",0.95137351,0.00301832,0x1E,0x00
"SPI","result",0.95444388,0.00301545,0xAF,0x00
"SPI","result",0.95751139,0.00301694,0x82,0x00
"SPI","result",0.96058038,0.00301701,0x02,0x00
"SPI","result",0.96364945,0.00301676,0x03,0x00
"SPI","result",0.96671826,0.01220502,0x2E,0x00
"SPI","result",0.97897533,0.00303687,0x01,0x00
"SPI","result",0.98206425,0.00301595,0x6D,0x00
"SPI","result",0.98513225,0.00301645,0x1E,0x00
"SPI","result",0.98820075,0.00301713,0x6F,0x00
"SPI","result",0.99126994,0.00301806,0x1E,0x00
"SPI","result",0.99434006,0.00301551,0xAF,0x00
"SPI","result",0.99740762,0.00301701,0x82,0x00
"SPI","result",1.00047668,0.00301701,0x02,0x00
"SPI","result",1.00354574,0.0030172,0x03,0x00
"SPI","result",1.00661499,0.0122044,0x2E,0x00
"SPI","result",1.01887145,0.00303567,0x01,0x00
"SPI","result",1.02195918,0.00301719,0x6D,0x00
"SPI","result",1.02502843,0.00301688,0x1E,0x00
"SPI","result",1.02809736,0.0030167,0x6F,0x00
"SPI","result",1.03116611,0.00301788,0x1E,0x00
"SPI","result",1.03423605,0.00301638,0xAF,0x00
"SPI","result",1.03730449,0.00301644,0x82,0x00
"SPI","result",1.04037299,0.00301657,0x02,0x00
"SPI","result",1.04344161,0.00301719,0x03,0x00
"SPI","result",1.04651086,0.01220477,0x2E,0x00
"SPI","result",1.05876769,0.00303554,0x01,0x00
"SPI","result",1.06185529,0.00301682,0x6D,0x00
"SPI","result",1.06492417,0.00301694,0x1E,0x00
"SPI","result",1.06799316,0.00301732,0x6F,0x00
"SPI","result",1.07106253,0.00301764,0x1E,0x00
"SPI","result",1.07413222,0.00301651,0xAF,0x00
"SPI","result",1.07720078,0.00301601,0x82,0x00
"SPI","result",1.08026885,0.00301694,0x02,0x00
"SPI","result",1.08333785,0.00301694,0x03,0x00
"SPI","result",1.08640685,0.01220489,0x2E,0x00
"SPI","result",1.0986638,0.00303486,0x01,0x00
"SPI","result",1.10175071,0.00301782,0x6D,0x00
"SPI","result",1.10482059,0.00301682,0x1E,0x00
"SPI","result",1.10788946,0.00301694,0x6F,0x00
"SPI","result",1.11095846,0.00301669,0x1E,0x00
"SPI","result",1.11402721,0.00301682,0xAF,0x00
"SPI","result",1.11709608,0.00301688,0x82,0x00
"SPI","result",1.12016502,0.00301751,0x02,0x00
"SPI","result",1.12323458,0.00301638,0x03,0x00
"SPI","result",1.12630302,0.01220558,0x2E,0x00
"SPI","result",1.13856066,0.00303498,0x01,0x00
"SPI","result",1.1416477,0.00301682,0x6D,0x00
"SPI","result",1.14471657,0.00301801,0x1E,0x00
"SPI","result",1.14778664,0.00301581,0x6F,0x00
"SPI","result",1.15085451,0.00301788,0x1E,0x00
"SPI","result",1.15392444,0.00301633,0xAF,0x00
"SPI","result",1.15699282,0.00301794,0x82,0x00
"SPI","result",1.16006282,0.00301625,0x02,0x00
"SPI","result",1.16313113,0.00301601,0x03,0x00
"SPI","result",1.16619919,0.01220502,0x2E,0x00
"SPI","result",1.17845627,0.00303555,0x01,0x00
"SPI","result",1.18154387,0.0030172,0x6D,0x00
"SPI","result",1.18461312,0.00301707,0x1E,0x00
"SPI","result",1.18768225,0.00301625,0x6F,0x00
"SPI","result",1.19075056,0.00303011,0x1E,0x00
"SPI","result",1.19383273,0.00300427,0xAF,0x00
"SPI","result",1.19688906,0.00301644,0x82,0x00
"SPI","result",1.19995755,0.00301689,0x02,0x00
"SPI","result",1.20302649,0.00301688,0x03,0x00
"SPI","result",1.20609543,0.01220527,0x2E,0x00
"SPI","result",1.21835276,0.00303523,0x01,0x00
"SPI","result",1.22144005,0.00301713,0x6D,0x00
